// FFXIV 1.0 (1.23b) RTTI Database — 4358 classes
// Generated from: ffxivgame.exe
// Date: 2026-05-18 13:35:01

// Format: Demangled | VTable VA | VFunc Count | TypeDescriptor VA | Mangled
// -------------------------------------------------------------------------
?A0x19db9ab0::CancelResumeChecker                                                          | 0x0110E504 |   3 | 0x0130CE9C | .?AVCancelResumeChecker@?A0x19db9ab0@@
?A0x1eef0f3d::CreateStaticActorResumeChecker                                               | 0x00FE0558 |   3 | 0x012C3F38 | .?AVCreateStaticActorResumeChecker@?A0x1eef0f3d@@
?A0x1eef0f3d::WaitResumeChecker                                                            | 0x00FE0548 |   3 | 0x012C3F08 | .?AVWaitResumeChecker@?A0x1eef0f3d@@
?A0x72296166::UnitTestContainer                                                            | 0x0110E20C |  21 | 0x0130CDF0 | .?AVUnitTestContainer@?A0x72296166@@
?A0xd316029b::ResourceReadEvent                                                            | 0x00FE1130 |   3 | 0x012C4030 | .?AVResourceReadEvent@?A0xd316029b@@
?A0xdad46f4b::DefaultExecuteTransaction                                                    | 0x0110EA1C |   4 | 0x0130CF74 | .?AVDefaultExecuteTransaction@?A0xdad46f4b@@
?A0xdad46f4b::NilControl                                                                   | 0x0110E9B4 |  20 | 0x0130CF08 | .?AVNilControl@?A0xdad46f4b@@
?A0xee95e5e4::s_CommandRelationActorPickupFunctor                                          | 0x01057400 |  13 | 0x012D88CC | .?AVs_CommandRelationActorPickupFunctor@?A0xee95e5e4@@
?A0xee95e5e4::s_SendLogParameterUnpackFunctor                                              | 0x010574EC |  13 | 0x012D8B8C | .?AVs_SendLogParameterUnpackFunctor@?A0xee95e5e4@@
?A0xee95e5e4::Timer                                                                        | 0x010573E8 |   2 | 0x012D8824 | .?AVTimer@?A0xee95e5e4@@
?A0xfd906835::s_FadeResumeChecker                                                          | 0x00FD5628 |   3 | 0x012C0A6C | .?AVs_FadeResumeChecker@?A0xfd906835@@
?A0xfd906835::s_MapLoadResumeChecker                                                       | 0x00FD5638 |   3 | 0x012C0A9C | .?AVs_MapLoadResumeChecker@?A0xfd906835@@
$0BA::$0BAA::?$Impl                                                                        | 0x00FE0044 |   7 | 0x012C3858 | .?AV?$Impl@$0BAA@$0BA@@
$0CA::H$0A::?$RingMemory                                                                   | 0x00F67860 |   1 | 0x01267094 | .?AV?$RingMemory@H$0A@$0CA@@
$0CA::H$0A::V?$RingMemory::?$ThreadMemory                                                  | 0x00F67870 |   1 | 0x012670F8 | .?AV?$ThreadMemory@V?$RingMemory@H$0A@$0CA@@
$0DCA::$0EA::?$Impl                                                                        | 0x00FE0164 |   7 | 0x012C3B28 | .?AV?$Impl@$0EA@$0DCA@@
$0EA::$0BAA::?$Impl                                                                        | 0x00FE0084 |   7 | 0x012C38F8 | .?AV?$Impl@$0BAA@$0EA@@
$0EA::$0BIA::?$Impl                                                                        | 0x00FE00A4 |   7 | 0x012C3948 | .?AV?$Impl@$0BIA@$0EA@@
$0IA::U?$Blob::?$_Vector_val                                                               |            |     | 0x01280AE8 | .?AV?$_Vector_val@U?$Blob@$0IA@@
$0IA::U?$Blob::?$vector                                                                    |            |     | 0x01280A78 | .?AV?$vector@U?$Blob@$0IA@@
0Component::Font                                                                           |            |     | 0x0130BD74 | .?AVFont@0Component@@
0Component::Resource                                                                       | 0x0110C4C0 |  14 | 0x0130BDF4 | .?AVResource@0Component@@
0Component::Sound                                                                          | 0x00F671FC |   1 | 0x01266A1C | .?AVSound@0Component@@
0Sqex::Socket                                                                              | 0x01110730 |   1 | 0x0130E7D8 | .?AVSocket@0Sqex@@
0Sqex::Thread                                                                              |            |     | 0x01269644 | .?AVThread@0Sqex@@
1Component::PAVResource::?$Queue                                                           | 0x0110893C |   1 | 0x0130B4E0 | .?AV?$Queue@PAVResource@1Component@@@
Application::IRapture                                                                      | 0x00F8CC00 |   4 | 0x01269570 | .?AVIRapture@Application@@
Application::Lua::InterfaceToSqwt::GetKeyboardFocusedControlProcessorInterface             | 0x00FD5750 |   4 | 0x012C1108 | .?AVGetKeyboardFocusedControlProcessorInterface@InterfaceToSqwt@Lua@Application@@
Application::Lua::InterfaceToSqwt::GetPropertyProcessorInterface                           | 0x00FD56C8 |   7 | 0x012C0DC8 | .?AVGetPropertyProcessorInterface@InterfaceToSqwt@Lua@Application@@
Application::Lua::InterfaceToSqwt::SendStoryboardCommandPickUpInterface                    | 0x00FD5720 |   2 | 0x012C0F98 | .?AVSendStoryboardCommandPickUpInterface@InterfaceToSqwt@Lua@Application@@
Application::Lua::InterfaceToSqwt::SendStoryboardCommandProcessorInterface                 | 0x00FA0B94 |   5 | 0x0126CFD8 | .?AVSendStoryboardCommandProcessorInterface@InterfaceToSqwt@Lua@Application@@
Application::Lua::InterfaceToSqwt::SetPropertyPickUpInterface                              | 0x00FD5674 |   2 | 0x012C0B88 | .?AVSetPropertyPickUpInterface@InterfaceToSqwt@Lua@Application@@
Application::Lua::InterfaceToSqwt::SetPropertyProcessorInterface                           | 0x00FA0B74 |   7 | 0x0126CF60 | .?AVSetPropertyProcessorInterface@InterfaceToSqwt@Lua@Application@@
Application::Lua::LuaAppBase                                                               |            |     | 0x0126CFAC | .?AVLuaAppBase@Lua@Application@@
Application::Lua::LuaGCModuleContoller                                                     | 0x00FA6EE8 |   3 | 0x01270A58 | .?AVLuaGCModuleContoller@Lua@Application@@
Application::Lua::LuaGCModuleContollerBase                                                 | 0x00FA6ED8 |   3 | 0x01270A20 | .?AVLuaGCModuleContollerBase@Lua@Application@@
Application::Lua::Script::Client::?A0x6ad19fbe::s_ActorInitializer                         | 0x00FE029C |   2 | 0x012C3C98 | .?AVs_ActorInitializer@?A0x6ad19fbe@Client@Script@Lua@Application@@
Application::Lua::Script::Client::ActorInitializeParameter::DisplayNameResolverListener    | 0x00FDF968 |   2 | 0x012C3238 | .?AVDisplayNameResolverListener@ActorInitializeParameter@Client@Script@Lua@Application@@
Application::Lua::Script::Client::ActorWorkSync                                            | 0x00FE044C |   3 | 0x012C3D8C | .?AVActorWorkSync@Client@Script@Lua@Application@@
